,ActivityIdentifier,Calcium,Magnesium,Potassium,Sodium,"Sodium, percent total cations",ProjectIdentifier,ActivityStartDate,ActivityStartTime/Time_PST,LongitudeMeasure,LatitudeMeasure
1095,nwisca.01.01705222,84.7,34.7,2.25,42.6,21000.0,National Water Quality Assessment Program (NAWQA),2017-05-09,11:40:00,-122.1366305,37.4543832
1096,nwisca.01.01705224,57.6,37.7,1.05,84.6,38000.0,National Water Quality Assessment Program (NAWQA),2017-05-08,17:00:00,-122.0805186,37.6799311
1097,nwisca.01.01705227,56.7,37.3,1.99,52.3,28000.0,National Water Quality Assessment Program (NAWQA),2017-05-08,14:00:00,-121.908,37.3843
1098,nwisca.01.01705228,70.3,44.7,1.13,52.0,24000.0,National Water Quality Assessment Program (NAWQA),2017-04-06,12:20:00,-121.9456472,37.95036389
1099,nwisca.01.01705229,144.0,57.4,2.46,186.0,40000.0,National Water Quality Assessment Program (NAWQA),2017-04-06,09:40:00,-122.066,37.972
1100,nwisca.01.01705230,125.0,51.9,2.6,107.0,31000.0,National Water Quality Assessment Program (NAWQA),2017-04-05,16:10:00,-122.129965,38.0032551
1101,nwisca.01.01705232,121.0,35.4,2.17,70.8,25000.0,National Water Quality Assessment Program (NAWQA),2017-04-05,09:50:00,-122.0592167,37.90366944
1102,nwisca.01.01705233,106.0,32.0,2.18,56.5,24000.0,National Water Quality Assessment Program (NAWQA),2017-04-04,14:30:00,-122.0999972,37.8823972
1103,nwisca.01.01705234,84.7,32.7,1.45,37.6,19000.0,National Water Quality Assessment Program (NAWQA),2017-04-04,12:40:00,-122.1723056,37.8645083
1104,nwisca.01.01705235,70.4,28.8,1.17,34.5,20000.0,National Water Quality Assessment Program (NAWQA),2017-04-04,10:20:00,-122.1931194,37.88655278
1105,nwisca.01.01705236,162.0,48.3,7.41,86.1,23000.0,National Water Quality Assessment Program (NAWQA),2017-04-03,16:30:00,-122.2905528,37.96884167
1106,nwisca.01.01705238,31.9,11.4,1.7,21.3,26000.0,National Water Quality Assessment Program (NAWQA),2017-04-03,13:00:00,-122.3319972,37.9628
1107,nwisca.01.01705240,69.5,45.6,1.0,63.5,28000.0,National Water Quality Assessment Program (NAWQA),2017-05-11,13:00:00,-121.9456472,37.95036389
1108,nwisca.01.01705244,128.0,56.2,2.54,187.0,42000.0,National Water Quality Assessment Program (NAWQA),2017-05-11,10:50:00,-122.066,37.972
1109,nwisca.01.01705249,115.0,36.0,2.2,75.8,27000.0,National Water Quality Assessment Program (NAWQA),2017-05-11,08:40:00,-122.0592167,37.90366944
