,ActivityIdentifier,Enterococcus,Fecal Coliform,Total Coliform
79,11NPSWRD_WQX-PRSF_WQ_DF2_20140225_L,,,20000.0
80,11NPSWRD_WQX-PRSF_WQ_EL1_20100120_L,,,37000.0
81,11NPSWRD_WQX-PRSF_WQ_EL1_20100218_L,,,1300.0
82,11NPSWRD_WQX-PRSF_WQ_EL1_20100218_L/1,,,1200.0
83,11NPSWRD_WQX-PRSF_WQ_EL1_20100422_L,,,1400.0
84,11NPSWRD_WQX-PRSF_WQ_EL1_20100519_L,,,2000.0
85,11NPSWRD_WQX-PRSF_WQ_EL1_20100624_L,,,2500.0
86,11NPSWRD_WQX-PRSF_WQ_EL1_20100720_L,,,12000.0
87,11NPSWRD_WQX-PRSF_WQ_EL1_20101115_L,,,20000.0
88,11NPSWRD_WQX-PRSF_WQ_EL1_20101222_L,,,2900.0
89,11NPSWRD_WQX-PRSF_WQ_EL1_20110124_L,,,1600.0
90,11NPSWRD_WQX-PRSF_WQ_EL1_20110216_L,,,2200.0
91,11NPSWRD_WQX-PRSF_WQ_EL1_20110316_L,,,730.0
92,11NPSWRD_WQX-PRSF_WQ_EL1_20110421_L,,,900.0
93,11NPSWRD_WQX-PRSF_WQ_EL1_20110518_L,,,3300.0
94,11NPSWRD_WQX-PRSF_WQ_EL1_20110518_L/1,,,4100.0
95,11NPSWRD_WQX-PRSF_WQ_EL1_20110620_L,,,4900.0
96,11NPSWRD_WQX-PRSF_WQ_EL1_20110620_L/1,,,5200.0
97,11NPSWRD_WQX-PRSF_WQ_EL1_20110720_L,,,4900.0
98,11NPSWRD_WQX-PRSF_WQ_EL1_20110720_L/1,,,4200.0
99,11NPSWRD_WQX-PRSF_WQ_EL1_20110822_L,,,1700.0
100,11NPSWRD_WQX-PRSF_WQ_EL1_20110822_L/1,,,1200.0
101,11NPSWRD_WQX-PRSF_WQ_EL1_20110920_L,,,1500.0
102,11NPSWRD_WQX-PRSF_WQ_EL1_20111018_L,,,2700.0
103,11NPSWRD_WQX-PRSF_WQ_EL1_20111114_L,,,1600.0
